Unique ID,Longitude (X),Latitude (Y),Match,State_Code,County_Code,Tract_Code,Block_Code,GEOID,state,county,cbsa,poverty_rate,mfi,state_mfi,cbsa_mfi,area_mfi,mfi_ratio,eligible_lic,rural_status,DC_Status,DC_Confidence,GEO_fixed,both
lumen-norristown-pa,-75.4086586,40.127067,Match,42,91,206006,2002,42091206006,Pennsylvania,Montgomery County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5.0296783,160313,100262,116434,116434,1.3768573,0,0,operational,reported,42091206006,0
novva-colorado-springs-co,-104.8164434,39.0130116,Match,8,41,7205,2023,8041007205,Colorado,El Paso County,"Colorado Springs, CO",8.1322489,126217,119139,108260,108260,1.1658692,0,0,operational,confirmed,08041007205,0
culpeper-brandy-station-va,-77.8863,38.5095,Match,51,47,930400,1009,51047930400,Virginia,Culpeper County,"Washington-Arlington-Alexandria, DC-VA-MD-WV",8.0427446,108750,115213,154653,154653,0.70318711,0,1,cancelled,reported,51047930400,0
radiusdc-nashville-i-tn,-86.7837,36.27987,Match,47,37,10201,2000,47037010201,Tennessee,Davidson County,"Nashville-Davidson--Murfreesboro--Franklin, TN",6.4509077,95722,87314,105115,105115,0.91064072,0,0,under_construction,confirmed,47037010201,0
atlas-compute-ai-data-center-campus-fort-pierce-fl,-80.33,27.44,Match,12,111,380500,4022,12111380500,Florida,St. Lucie County,"Port St. Lucie, FL",40.649807,48182,89891,88673,88673,0.54336721,1,0,proposed,confirmed,12111380500,0
nuvu-county-drive-petersburg-va,-77.376,37.193,Match,51,730,811100,3008,51730811100,Virginia,Petersburg city,"Richmond, VA",4.7239614,74141,115213,110863,110863,0.66876233,1,0,permitted,confirmed,51730811100,0
switch-pyramid-campus-grand-rapids-mi,-85.64,42.823,Match,26,81,14805,3002,26081014805,Michigan,Kent County,"Grand Rapids-Wyoming-Kentwood, MI",4.3761997,135071,93357,101026,101026,1.3369925,0,0,under_construction,confirmed,26081014805,0
blusky-ai-milford-ut,-113.0111,38.3936,Match,49,1,100200,3071,49001100200,Utah,Beaver County,NA,7.0814714,85714,109675,NA,109675,0.78152722,0,1,proposed,reported,49001100200,0
poolside-project-horizon-pecos-county-tx,-102.8796,30.8938,Match,48,371,950300,1136,48371950300,Texas,Pecos County,NA,34.636303,NA,94599,NA,94599,NA,1,1,proposed,reported,48371950300,1
flexential-dallas-downtown-dallas-tx,-96.8193707,32.8004101,Match,48,113,10001,4009,48113010001,Texas,Dallas County,"Dallas-Fort Worth-Arlington, TX",34.268063,43662,94599,108711,108711,0.40163368,1,0,operational,reported,48113010001,0
